title,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre
Bunny (Hardcover),Mona Awad,https://www.goodreads.com/book/show/42815544-bunny,3.57,"                49,429",2019,305,307 pages,Horror
The Upside of Falling (Hardcover),Alex Light,https://www.goodreads.com/book/show/45891343-the-upside-of-falling,3.66,"                51,004",2020,306,288 pages,Romance
"We Free the Stars (Sands of Arawiya, #2)",Hafsah Faizal,https://www.goodreads.com/book/show/46223364-we-free-the-stars,4.3,"                21,059",2021,307,592 pages,Fantasy
"The Silence of the Girls (Women of Troy, #1)",Pat Barker,https://www.goodreads.com/book/show/37969723-the-silence-of-the-girls,3.92,"                64,107",2018,308,325 pages,Historical
Cruel Beauty (Hardcover),Rosamund Hodge,https://www.goodreads.com/book/show/15839984-cruel-beauty,3.67,"                86,799",2014,309,346 pages,Fantasy
"Sweet Obsession (Ruthless Games, #1)",Callie Rose,https://www.goodreads.com/book/show/57378459-sweet-obsession,3.93,"                9,361",2020,310,308 pages,Polyamorous
Skin of the Night (The Night #1),C.K. Bennett,https://www.goodreads.com/book/show/58287210-skin-of-the-night,3.41,"                6,380",hed ,311,480 pages,Romance
"Kings of Chaos (Dirty Broken Savages, #1)",Eva Ashwood,https://www.goodreads.com/book/show/57337557-kings-of-chaos,3.95,"                9,421",hed ,312,484 pages,Polyamorous
The Maidens (Hardcover),Alex Michaelides,https://www.goodreads.com/book/show/45300567-the-maidens,3.63,"                166,043",2021,313,337 pages,Mystery
Layla (Kindle Edition),Colleen Hoover,https://www.goodreads.com/book/show/52089753-layla,3.79,"                135,840",2020,314,301 pages,Romance
"The Bone Shard Daughter (The Drowning Empire, #1)",Andrea Stewart,https://www.goodreads.com/book/show/50706646-the-bone-shard-daughter,4.07,"                15,460",2020,315,438 pages,Fantasy
The Sun Is Also a Star (Hardcover),Nicola Yoon,https://www.goodreads.com/book/show/28763485-the-sun-is-also-a-star,4.02,"                268,292",2016,316,384 pages,Young Adult
"Spin the Dawn (The Blood of Stars, #1)",Elizabeth Lim,https://www.goodreads.com/book/show/42815556-spin-the-dawn,4.0,"                40,928",2019,317,392 pages,Fantasy
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches,4.01,"                438,263",2011,318,579 pages,Fantasy
"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,https://www.goodreads.com/book/show/51824384-act-your-age-eve-brown,4.18,"                57,284",2021,319,400 pages,Romance
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,https://www.goodreads.com/book/show/43449920-heartstopper,4.64,"                210,302",2020,320,384 pages,Sequential Art
"Ruthless Creatures (Queens & Monsters, #1)",J.T. Geissinger,https://www.goodreads.com/book/show/56241268-ruthless-creatures,4.17,"                19,873",2021,321,378 pages,Romance
"On Dublin Street (On Dublin Street, #1)",Samantha Young,https://www.goodreads.com/book/show/15760001-on-dublin-street,4.18,"                186,635",2012,322,372 pages,Romance
The Way I Used to Be (Kindle Edition),Amber Smith,https://www.goodreads.com/book/show/23546634-the-way-i-used-to-be,4.19,"                36,147",2016,323,385 pages,Young Adult
Eleanor Oliphant Is Completely Fine (Hardcover),Gail Honeyman,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,4.26,"                987,681",2017,324,336 pages,Fiction
The Kiss Thief (Paperback),L.J. Shen,https://www.goodreads.com/book/show/41450662-the-kiss-thief,3.94,"                72,924",2019,325,320 pages,Romance
"Paper Princess (The Royals, #1)",Erin Watt,https://www.goodreads.com/book/show/28678119-paper-princess,3.95,"                120,139",2016,326,370 pages,Romance
"The Lightning Thief (Percy Jackson and the Olympians, #1)",(Pseudonym),https://www.goodreads.com/book/show/28187.The_Lightning_Thief,4.28,"                2,456,073",2005,327,377 pages,Fantasy
"Praise (Salacious Players Club, #1)",Rick Riordan,https://www.goodreads.com/book/show/60416566-praise,4.18,"                20,312",hed ,328,341 pages,Romance
"Locked Up Liars (Saint View Prison, #1)",Sara Cate,https://www.goodreads.com/book/show/56780396-locked-up-liars,4.08,"                5,594",2021,329,263 pages,Polyamorous
"City of Thorns (The Demon Queen Trials, #1)",Elle Thorpe,https://www.goodreads.com/book/show/58503332-city-of-thorns,3.93,"                12,891",2021,330,306 pages,Fantasy
"A Fate of Wrath & Flame (Fate & Flame, #1)",C.N. Crawford,https://www.goodreads.com/book/show/57198961-a-fate-of-wrath-flame,4.28,"                7,518",2021,331,533 pages,Fantasy
"A Shadow in the Ember (Flesh and Fire, #1)",K.A. Tucker,https://www.goodreads.com/book/show/57282383-a-shadow-in-the-ember,4.5,"                51,432",2021,332,647 pages,Fantasy
History Is All You Left Me (ebook),Jennifer L. Armentrout,https://www.goodreads.com/book/show/25014114-history-is-all-you-left-me,4.0,"                56,611",2017,333,320 pages,Young Adult
Incendiary (Hollow Crown #1),Adam Silvera,https://www.goodreads.com/book/show/52888729-incendiary,3.91,"                6,690",2020,334,450 pages,Fantasy
Holding Up the Universe (Hardcover),Zoraida Córdova,https://www.goodreads.com/book/show/28686840-holding-up-the-universe,3.78,"                99,053",2016,335,391 pages,Young Adult
"Destroy Me (Shatter Me, #1.5)",Jennifer Niven,https://www.goodreads.com/book/show/13623150-destroy-me,4.14,"                116,385",2012,336,111 pages,Science Fiction
"Jade City (The Green Bone Saga, #1)",Tahereh Mafi,https://www.goodreads.com/book/show/43587154-jade-city,4.12,"                28,625",2017,337,560 pages,Fantasy
"Angelfall (Penryn & the End of Days, #1)",Fonda Lee,https://www.goodreads.com/book/show/15863832-angelfall,4.11,"                183,882",2011,338,288 pages,Fantasy
"The Kinder Poison (The Kinder Poison, #1)",Susan Ee,https://www.goodreads.com/book/show/42893340-the-kinder-poison,3.93,"                4,215",2020,339,416 pages,Fantasy
"Gideon the Ninth (The Locked Tomb, #1)",Natalie Mae,https://www.goodreads.com/book/show/42036538-gideon-the-ninth,4.22,"                72,353",2019,340,448 pages,Fantasy
"A Promise of Fire (Kingmaker Chronicles, #1)",Tamsyn Muir,https://www.goodreads.com/book/show/59645282-a-promise-of-fire,4.04,"                29,984",2016,341,445 pages,Fantasy
"Ash Princess (Ash Princess Trilogy, #1)",Amanda Bouchet,https://www.goodreads.com/book/show/32505753-ash-princess,3.89,"                51,643",2018,342,432 pages,Fantasy
"A Thousand Pieces of You (Firebird, #1)",Laura Sebastian,https://www.goodreads.com/book/show/17234658-a-thousand-pieces-of-you,3.9,"                55,156",2014,343,368 pages,Young Adult
"The Hunger Games (The Hunger Games, #1)",Claudia Gray,https://www.goodreads.com/book/show/2767052-the-hunger-games,4.32,"                7,402,811",2008,344,374 pages,Young Adult
A Million Kisses in Your Lifetime (Paperback),Suzanne Collins,https://www.goodreads.com/book/show/60306208-a-million-kisses-in-your-lifetime,4.06,"                15,823",2022,345,None,Romance
A Lady of Rooksgrave Manor (Tempting Monsters #1),Monica Murphy,https://www.goodreads.com/book/show/56574777-a-lady-of-rooksgrave-manor,4.06,"                10,720",2021,346,376 pages,Polyamorous
Ariadne (Hardcover),Kathryn Moon,https://www.goodreads.com/book/show/54860614-ariadne,3.83,"                49,289",2021,347,320 pages,Fantasy
The Guest List (Hardcover),Jennifer Saint,https://www.goodreads.com/book/show/51933429-the-guest-list,3.85,"                587,080",2020,348,330 pages,Mystery
"Feather (Angels of Elysium, #1)",Lucy Foley,https://www.goodreads.com/book/show/43701756-feather,4.05,"                5,012",2019,349,486 pages,Fantasy
"The Gilded Ones (The Gilded Ones, #1)",Namina Forna,https://www.goodreads.com/book/show/40024121-the-gilded-ones,4.03,"                29,704",2020,350,432 pages,Fantasy
The Worst Best Man (ebook),Mia Sosa,https://www.goodreads.com/book/show/43801254-the-worst-best-man,3.6,"                42,792",2020,351,368 pages,Romance
The Kite Runner (Paperback),Khaled Hosseini,https://www.goodreads.com/book/show/77203.The_Kite_Runner,4.32,"                2,775,161",2003,352,371 pages,Fiction
"The Never King (Vicious Lost Boys, #1)",Nikki St. Crowe,https://www.goodreads.com/book/show/59918505-the-never-king,3.84,"                20,390",2022,353,192 pages,Fantasy
The Spy Master,Laureline Ducros,https://www.goodreads.com/book/show/59760078-the-spy-master,5.0,                2,hed ,354,None,Thriller
Better Than the Movies (Hardcover),Lynn Painter,https://www.goodreads.com/book/show/55710822-better-than-the-movies,4.24,"                26,238",2021,355,356 pages,Romance
"Lessons in Corruption (The Fallen Men, #1)",Giana Darling,https://www.goodreads.com/book/show/51480753-lessons-in-corruption,4.05,"                15,686",2017,356,406 pages,Romance
Writers & Lovers (Hardcover),Lily King,https://www.goodreads.com/book/show/45289222-writers-lovers,4.06,"                98,184",2020,357,320 pages,Fiction
"The Simple Wild (Wild, #1)",K.A. Tucker,https://www.goodreads.com/book/show/36373564-the-simple-wild,4.34,"                63,859",2018,358,400 pages,Romance
The Dark Tide (Hardcover),Alicia Jasinska,https://www.goodreads.com/book/show/52411049-the-dark-tide,3.49,"                5,125",2020,359,336 pages,Fantasy
Salt to the Sea (Hardcover),Ruta Sepetys,https://www.goodreads.com/book/show/25614492-salt-to-the-sea,4.35,"                165,911",2016,360,391 pages,Historical
"King of the South (Belgrave Dynasty, #1)",Calia Read,https://www.goodreads.com/book/show/43365469-king-of-the-south,4.0,"                3,465",2020,361,404 pages,Romance
"Kill Switch (Devil's Night, #3)",Penelope Douglas,https://www.goodreads.com/book/show/58080310-kill-switch,4.36,"                39,713",2019,362,668 pages,Romance
"Love & Gelato (Love & Gelato, #1)",Jenna Evans Welch,https://www.goodreads.com/book/show/25756328-love-gelato,4.13,"                83,543",2016,363,389 pages,Romance
"Malice (Malice Duology, #1)",Heather Walter,https://www.goodreads.com/book/show/51530580-malice,4.05,"                12,598",2021,364,470 pages,Fantasy
Lilac (Kindle Edition),B.B. Reid,https://www.goodreads.com/book/show/56180769-lilac,3.9,"                16,468",2020,365,556 pages,Polyamorous
"Radiance (Wraith Kings, #1)",Grace Draven,https://www.goodreads.com/book/show/24473763-radiance,4.03,"                48,472",2015,366,297 pages,Fantasy
"Kings of Quarantine (Brutal Boys of Everlake Prep, #1)",Caroline Peckham,https://www.goodreads.com/book/show/52775593-kings-of-quarantine,4.28,"                14,900",2020,367,556 pages,Polyamorous
"A Touch of Chaos (Hades & Persephone, #4)",Scarlett St. Clair,https://www.goodreads.com/book/show/56670031-a-touch-of-chaos,4.21,                663,2023,368,None,Fantasy
"A Heart So Fierce and Broken (Cursebreakers, #2)",Brigid Kemmerer,https://www.goodreads.com/book/show/42952728-a-heart-so-fierce-and-broken,3.94,"                45,307",2020,369,450 pages,Fantasy
Down Comes the Night (Hardcover),Allison Saft,https://www.goodreads.com/book/show/46189814-down-comes-the-night,3.81,"                5,047",2021,370,400 pages,Fantasy
Know My Name (ebook),Chanel Miller,https://www.goodreads.com/book/show/50196744-know-my-name,4.72,"                131,201",2019,371,384 pages,Nonfiction
"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,https://www.goodreads.com/book/show/49976087-take-a-hint-dani-brown,4.07,"                68,752",2020,372,400 pages,Romance
"Skyhunter (Skyhunter, #1)",Marie Lu,https://www.goodreads.com/book/show/53174067-skyhunter,4.07,"                13,661",2020,373,371 pages,Fantasy
"Of Fire and Stars (Of Fire and Stars, #1)",Audrey Coulthurst,https://www.goodreads.com/book/show/25164304-of-fire-and-stars,3.76,"                18,795",2016,374,389 pages,Fantasy
"Dipped In Holly (Nick and Holly, #1)",Dana Isaly,https://www.goodreads.com/book/show/59688355-dipped-in-holly,3.77,"                21,408",2021,375,66 pages,Romance
"Carnage (Four Horsemen, #1)",Sarah Bailey,https://www.goodreads.com/book/show/55135009-carnage,3.99,"                10,326",hed ,376,394 pages,Polyamorous
"The High Mountain Court (The Five Crowns of Okrith, #1)",A.K. Mulford,https://www.goodreads.com/book/show/58310153-the-high-mountain-court,3.91,"                8,033",hed ,377,354 pages,Fantasy
"The Song of the Marked (Shadows and Crowns, #1)",S.M. Gaither,https://www.goodreads.com/book/show/53902073-the-song-of-the-marked,4.09,"                4,480",2020,378,512 pages,Fantasy
"A Vow Of Hate (A Vow of Hate, #1)",Lylah James,https://www.goodreads.com/book/show/56037021-a-vow-of-hate,3.79,"                12,476",2021,379,327 pages,Romance
Scars (The Triad #1),Dana Isaly,https://www.goodreads.com/book/show/57799987-scars,3.75,"                5,046",2021,380,282 pages,Polyamorous
"The Doctor (Nashville Neighborhood, #1)",Nikki Sloane,https://www.goodreads.com/book/show/40702672-the-doctor,3.54,"                16,054",2018,381,296 pages,Romance
Heartstopper: Volume Four (Heartstopper #4),Alice Oseman,https://www.goodreads.com/book/show/56060300-heartstopper,4.68,"                165,839",2021,382,384 pages,Sequential Art
Everything I Know About Love (Hardcover),Dolly Alderton,https://www.goodreads.com/book/show/46041465-everything-i-know-about-love,4.14,"                92,989",2018,383,368 pages,Nonfiction
The Picture of Dorian Gray (Paperback),Oscar Wilde,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,4.1,"                1,208,822",1890,384,272 pages,Classics
"Glint (The Plated Prisoner, #2)",Raven Kennedy,https://www.goodreads.com/book/show/56530123-glint,4.25,"                41,747",2021,385,441 pages,Fantasy
"The Bromance Book Club (Bromance Book Club, #1)",Lyssa Kay Adams,https://www.goodreads.com/book/show/44019067-the-bromance-book-club,3.91,"                70,582",2019,386,352 pages,Romance
"Nightfall (Devil's Night, #4)",Penelope Douglas,https://www.goodreads.com/book/show/58080352-nightfall,4.26,"                27,675",2020,387,752 pages,Romance
"What If It's Us (What If It's Us, #1)",Becky Albertalli,https://www.goodreads.com/book/show/36341204-what-if-it-s-us,3.87,"                113,082",2018,388,437 pages,Romance
Piranesi (Hardcover),Susanna Clarke,https://www.goodreads.com/book/show/50202953-piranesi,4.27,"                146,725",2020,389,245 pages,Fantasy
"Zero Repeat Forever (The Nahx Invasions, #1)",Gabrielle S. Prendergast,https://www.goodreads.com/book/show/28945665-zero-repeat-forever,3.97,"                2,993",2017,390,496 pages,Science Fiction
"Fracture Me (Shatter Me, #2.5)",Tahereh Mafi,https://www.goodreads.com/book/show/17331518-fracture-me,3.55,"                64,800",2013,391,72 pages,Science Fiction
The Fault in Our Stars (Hardcover),John Green,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,4.16,"                4,343,960",2012,392,313 pages,Young Adult
Anxious People (Paperback),Fredrik Backman,https://www.goodreads.com/book/show/53799686-anxious-people,4.2,"                419,556",2019,393,336 pages,Fiction
"Chain of Gold (The Last Hours, #1)",Cassandra Clare,https://www.goodreads.com/book/show/17699853-chain-of-gold,4.44,"                75,479",2020,394,592 pages,Fantasy
"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes,https://www.goodreads.com/book/show/58658940-the-final-gambit,4.59,                449,2022,395,400 pages,Mystery
Seven Days in June (Hardcover),Tia Williams,https://www.goodreads.com/book/show/55648820-seven-days-in-june,4.1,"                55,235",2021,396,336 pages,Romance
Tender is the Flesh (Paperback),Agustina Bazterrica,https://www.goodreads.com/book/show/49090884-tender-is-the-flesh,3.9,"                51,081",2017,397,211 pages,Horror
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,https://www.goodreads.com/book/show/44421460-before-the-coffee-gets-cold,3.75,"                101,942",2015,398,213 pages,Fiction
"All of Us Villains (All of Us Villains, #1)",(著),https://www.goodreads.com/book/show/56179338-all-of-us-villains,3.95,"                10,193",2021,399,400 pages,Fantasy
The Last Thing He Told Me (Hardcover),Laura Dave,https://www.goodreads.com/book/show/54981009-the-last-thing-he-told-me,3.9,"                434,978",2021,400,320 pages,Mystery
Then She Was Gone (Hardcover),Lisa Jewell,https://www.goodreads.com/book/show/35297426-then-she-was-gone,4.06,"                380,264",2017,401,359 pages,Mystery
"Bring Me Their Hearts (Bring Me Their Hearts, #1)",Sara Wolf,https://www.goodreads.com/book/show/35144326-bring-me-their-hearts,4.05,"                9,868",2018,402,370 pages,Fantasy
The Grace Year (Hardcover),Kim Liggett,https://www.goodreads.com/book/show/43263520-the-grace-year,4.15,"                67,040",2019,403,416 pages,Young Adult
The Octunnumi Fosbit Files Prologue (Paperback),Trevor Alan Foris,https://www.goodreads.com/book/show/52233178-the-octunnumi-fosbit-files-prologue,4.07,"                8,939",2020,404,520 pages,Fantasy
I'm Thinking of Ending Things (Kindle Edition),Iain Reid,https://www.goodreads.com/book/show/40605223-i-m-thinking-of-ending-things,3.59,"                103,526",2016,405,241 pages,Horror
"Prodigy (Legend, #2)",Marie Lu,https://www.goodreads.com/book/show/13414446-prodigy,4.24,"                236,989",2013,406,371 pages,Science Fiction
Turtles All the Way Down (Hardcover),John Green,https://www.goodreads.com/book/show/35504431-turtles-all-the-way-down,3.92,"                449,459",2017,407,290 pages,Young Adult
Pride and Prejudice (Paperback),Jane Austen,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,4.28,"                3,618,632",1813,408,279 pages,Classics
"Hideaway (Devil's Night, #2)",Penelope Douglas,https://www.goodreads.com/book/show/29082755-hideaway,4.1,"                46,881",2017,409,466 pages,Romance
"Written in the Stars (Written in the Stars, #1)",Alexandria Bellefleur,https://www.goodreads.com/book/show/51179990-written-in-the-stars,3.92,"                27,136",2020,410,384 pages,Romance
Little Fires Everywhere (Hardcover),Celeste Ng,https://www.goodreads.com/book/show/34273236-little-fires-everywhere,4.09,"                965,040",2017,411,338 pages,Fiction
"Scarred (Never After, #2)",Emily McIntire,https://www.goodreads.com/book/show/59512586-scarred,4.09,"                15,603",2022,412,388 pages,Romance
Frivolous (Kindle Edition),Veronica Lancet,https://www.goodreads.com/book/show/58604190-frivolous,4.0,"                1,481",hed ,413,468 pages,Dark
Gothikana (Kindle Edition),RuNyx,https://www.goodreads.com/book/show/57426932-gothikana,4.12,"                8,988",2021,414,456 pages,Romance
Things Have Gotten Worse Since We Last Spoke (Kindle Edition),Eric LaRocca,https://www.goodreads.com/book/show/57876868-things-have-gotten-worse-since-we-last-spoke,3.07,"                24,363",2021,415,102 pages,Horror
The Wolf and the Woodsman (Hardcover),Ava Reid,https://www.goodreads.com/book/show/48915408-the-wolf-and-the-woodsman,3.59,"                11,199",2021,416,448 pages,Fantasy
The Ex Talk (Kindle Edition),Rachel Lynn Solomon,https://www.goodreads.com/book/show/53415121-the-ex-talk,3.77,"                48,926",2021,417,336 pages,Romance
The Witch's Heart (Hardcover),Genevieve Gornichec,https://www.goodreads.com/book/show/53438195-the-witch-s-heart,4.08,"                25,565",2021,418,359 pages,Fantasy
"The Dare (Briar U, #4)",Elle Kennedy,https://www.goodreads.com/book/show/52918684-the-dare,3.81,"                43,951",2020,419,354 pages,Romance
The Light We Lost (Hardcover),Jill Santopolo,https://www.goodreads.com/book/show/32956365-the-light-we-lost,3.87,"                120,867",2017,420,328 pages,Romance
The One (Kindle Edition),John Marrs,https://www.goodreads.com/book/show/40670312-the-one,4.12,"                100,340",2016,421,291 pages,Thriller
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,https://www.goodreads.com/book/show/41865.Twilight,3.63,"                5,757,856",2005,422,498 pages,Fantasy
"The Last Magician (The Last Magician, #1)",Lisa Maxwell,https://www.goodreads.com/book/show/30312855-the-last-magician,4.06,"                17,087",2017,423,500 pages,Fantasy
Gods of Jade and Shadow (Hardcover),Silvia Moreno-Garcia,https://www.goodreads.com/book/show/36510722-gods-of-jade-and-shadow,3.91,"                46,444",2019,424,338 pages,Fantasy
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,https://www.goodreads.com/book/show/6339664-hush-hush,3.94,"                652,244",2009,425,391 pages,Young Adult
She Drives Me Crazy (ebook),Kelly Quindlen,https://www.goodreads.com/book/show/52516406-she-drives-me-crazy,4.06,"                24,858",2021,426,288 pages,Romance
"Oath Taker (Kingdom of Runes, #1)",Audrey Grey,https://www.goodreads.com/book/show/44163860-oath-taker,3.85,"                9,384",2019,427,369 pages,Fantasy
"A Ruin of Roses (Deliciously Dark Fairytales, #1)",K.F. Breene,https://www.goodreads.com/book/show/58785677-a-ruin-of-roses,3.89,"                21,530",2021,428,386 pages,Fantasy
Blindsided (Harris Brothers World #2),Amy Daws,https://www.goodreads.com/book/show/52602989-blindsided,4.12,"                25,186",2019,429,322 pages,Romance
Firekeeper's Daughter (Hardcover),Angeline Boulley,https://www.goodreads.com/book/show/52346471-firekeeper-s-daughter,4.38,"                72,019",2021,430,496 pages,Young Adult
Still Beating (Kindle Edition),Jennifer Hartmann,https://www.goodreads.com/book/show/55882116-still-beating,4.35,"                20,250",2020,431,366 pages,Romance
"The Jasmine Throne (Burning Kingdoms, #1)",Tasha Suri,https://www.goodreads.com/book/show/50523477-the-jasmine-throne,4.21,"                10,338",2021,432,533 pages,Fantasy
"Gleam (The Plated Prisoner, #3)",Raven Kennedy,https://www.goodreads.com/book/show/57214537-gleam,4.51,"                38,822",2021,433,613 pages,Fantasy
"Beautifully Cruel (Beautifully Cruel, #1)",J.T. Geissinger,https://www.goodreads.com/book/show/48662527-beautifully-cruel,4.18,"                28,050",2020,434,310 pages,Romance
"Voyeur (Voyeur, #1)",Fiona Cole,https://www.goodreads.com/book/show/38896122-voyeur,3.73,"                19,090",2018,435,312 pages,Romance
Norwegian Wood (Paperback),Haruki Murakami,https://www.goodreads.com/book/show/11297.Norwegian_Wood,4.03,"                465,638",1987,436,296 pages,Fiction
"Kingdom of Exiles (The Beast Charmer, #1)",Maxym M. Martineau,https://www.goodreads.com/book/show/42366222-kingdom-of-exiles,3.97,"                4,161",2019,437,438 pages,Fantasy
Dune (Hardcover),Frank Herbert,https://www.goodreads.com/book/show/44767458-dune,4.25,"                1,080,559",1965,438,658 pages,Science Fiction
Starry Eyes (Hardcover),Jenn Bennett,https://www.goodreads.com/book/show/35297469-starry-eyes,4.02,"                24,648",2018,439,421 pages,Romance
"The Heir (The Selection, #4)",Kiera Cass,https://www.goodreads.com/book/show/22918050-the-heir,3.68,"                287,410",2015,440,342 pages,Young Adult
"Shadow of the Fox (Shadow of the Fox, #1)",Julie Kagawa,https://www.goodreads.com/book/show/36672988-shadow-of-the-fox,4.01,"                17,148",2018,441,454 pages,Fantasy
Priceless (Kindle Edition),Miranda Silver,https://www.goodreads.com/book/show/50291659-priceless,3.88,"                10,472",2020,442,338 pages,Romance
"The Heir (Kingmakers, #1)",Sophie Lark,https://www.goodreads.com/book/show/57633823-the-heir,4.02,"                13,191",2021,443,532 pages,Romance
"Vow of Deception (Deception Trilogy, #1)",Rina Kent,https://www.goodreads.com/book/show/56897024-vow-of-deception,4.05,"                16,193",2021,444,298 pages,Romance
The Savage and the Swan (Paperback),Ella Fields,https://www.goodreads.com/book/show/57366810-the-savage-and-the-swan,3.81,"                10,284",2021,445,348 pages,Fantasy
"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson,https://www.goodreads.com/book/show/56666839-a-dowry-of-blood,4.2,"                12,172",2021,446,248 pages,Fantasy
"The Legacy (Off-Campus, #5)",Elle Kennedy,https://www.goodreads.com/book/show/58953656-the-legacy,3.74,"                38,935",2021,447,348 pages,Romance
"Lords of Pain (The Royals of Forsyth University, #1)",Angel Lawson,https://www.goodreads.com/book/show/56986379-lords-of-pain,4.13,"                13,725",2021,448,411 pages,Polyamorous
"The Finish Line (The Ravenhood, #3)",Kate Stewart,https://www.goodreads.com/book/show/56182388-the-finish-line,4.34,"                28,535",2021,449,450 pages,Romance
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,https://www.goodreads.com/book/show/7235533-the-way-of-kings,4.64,"                382,509",2010,450,1007 pages,Fantasy
Lost in the Never Woods (Hardcover),Aiden Thomas,https://www.goodreads.com/book/show/39897752-lost-in-the-never-woods,3.71,"                9,416",2021,451,384 pages,Fantasy
The Bell Jar (Paperback),Sylvia Plath,https://www.goodreads.com/book/show/6514.The_Bell_Jar,4.03,"                729,374",1963,452,294 pages,Classics
"The Play (Briar U, #3)",Elle Kennedy,https://www.goodreads.com/book/show/43877254-the-play,4.08,"                52,013",2019,453,422 pages,Romance
Eleanor & Park (Hardcover),Rainbow Rowell,https://www.goodreads.com/book/show/15745753-eleanor-park,3.98,"                1,038,665",2012,454,328 pages,Young Adult
Flowers for Algernon (Paperback),Daniel Keyes,https://www.goodreads.com/book/show/36576608-flowers-for-algernon,4.17,"                563,486",1959,455,216 pages,Fiction
"The Foxhole Court (All for the Game, #1)",Nora Sakavic,https://www.goodreads.com/book/show/17259690-the-foxhole-court,4.03,"                55,844",2013,456,237 pages,Contemporary
"Malice (The Faithful and the Fallen, #1)",John Gwynne,https://www.goodreads.com/book/show/15750692-malice,4.15,"                24,154",2012,457,672 pages,Fantasy
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,4.52,"                833,506",2007,458,662 pages,Fantasy
"The Rose & the Dagger (The Wrath and the Dawn, #2)",Renée Ahdieh,https://www.goodreads.com/book/show/23308084-the-rose-the-dagger,4.06,"                83,960",2016,459,416 pages,Fantasy
"After (After, #1)",Anna Todd,https://www.goodreads.com/book/show/22557520-after,3.71,"                243,804",2014,460,582 pages,Romance
Uprooted (Hardcover),Naomi Novik,https://www.goodreads.com/book/show/22544764-uprooted,4.05,"                204,784",2015,461,438 pages,Fantasy
"Ace of Shades (The Shadow Game, #1)",Amanda Foody,https://www.goodreads.com/book/show/30238163-ace-of-shades,3.87,"                15,808",2018,462,411 pages,Fantasy
"Red Rising (Red Rising Saga, #1)",Pierce Brown,https://www.goodreads.com/book/show/15839976-red-rising,4.25,"                302,039",2014,463,382 pages,Science Fiction
"Darkfever (Fever, #1)",Karen Marie Moning,https://www.goodreads.com/book/show/112750.Darkfever,4.06,"                172,855",2006,464,309 pages,Fantasy
"Obsidian (Lux, #1)",Jennifer L. Armentrout,https://www.goodreads.com/book/show/12578077-obsidian,4.15,"                264,231",2011,465,335 pages,Young Adult
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer,4.03,"                165,966",2011,466,456 pages,Young Adult
The North Wind (The Four Winds #1),Alexandria Warwick,https://www.goodreads.com/book/show/57299301-the-north-wind,3.8,"                3,863",2022,467,551 pages,Fantasy
"Little Fire (Warriors of the Five Realms, #1)",Hollee Mands,https://www.goodreads.com/book/show/57569448-little-fire,4.04,"                4,262",2021,468,484 pages,Fantasy
Chasing Love (Dark Love #1),Kat T. Masen,https://www.goodreads.com/book/show/54256265-chasing-love,3.65,"                8,318",2020,469,None,Romance
"Dear Love, I Hate You (Easton High, #1)",Eliah Greenwood,https://www.goodreads.com/book/show/57299625-dear-love-i-hate-you,4.07,"                12,098",hed ,470,535 pages,Romance
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (Kindle Edition),Brianna Wiest,https://www.goodreads.com/book/show/53642699-the-mountain-is-you,4.24,"                6,295",2020,471,182 pages,Self Help
Instructions for Dancing (Kindle Edition),Nicola Yoon,https://www.goodreads.com/book/show/55600878-instructions-for-dancing,4.03,"                33,019",2021,472,304 pages,Romance
Second First Impressions (Hardcover),Sally Thorne,https://www.goodreads.com/book/show/45553600-second-first-impressions,3.61,"                52,794",2021,473,352 pages,Romance
The Beekeeper of Aleppo (Hardcover),Christy Lefteri,https://www.goodreads.com/book/show/43124137-the-beekeeper-of-aleppo,4.19,"                96,458",2019,474,317 pages,Fiction
Her Body and Other Parties: Stories (Paperback),Carmen Maria Machado,https://www.goodreads.com/book/show/33375622-her-body-and-other-parties,3.89,"                60,752",2017,475,248 pages,Short Stories
"Collided (Dirty Air, #2)",Lauren Asher,https://www.goodreads.com/book/show/50026069-collided,3.99,"                23,674",2020,476,560 pages,Romance
